district,state,number,state_name,name
AL-01,AL,01,Alabama,Mobile—Gulf Shores—Andalusia
AL-02,AL,02,Alabama,Montgomery and the Wiregrass
AL-03,AL,03,Alabama,Auburn—Anniston—Gadsden
AL-04,AL,04,Alabama,Fort Payne—Cullman—Jasper
AL-05,AL,05,Alabama,Huntsville and the Tennessee Valley
AL-06,AL,06,Alabama,Birmingham East—Prattville
AL-07,AL,07,Alabama,Birmingham West—Tuscaloosa—Selma
AK-AL,AK,AL,Alaska,Alaska
AZ-01,AZ,01,Arizona,Phoenix North—Scottsdale
AZ-02,AZ,02,Arizona,Flagstaff—Navajo Nation—Globe
AZ-03,AZ,03,Arizona,Phoenix West
AZ-04,AZ,04,Arizona,Mesa West—Tempe—Chandler
AZ-05,AZ,05,Arizona,Mesa East—Gilbert
AZ-06,AZ,06,Arizona,Tucson East—Sierra Vista
AZ-07,AZ,07,Arizona,Tucson South—Nogales—Yuma
AZ-08,AZ,08,Arizona,Peoria—Surprise
AZ-09,AZ,09,Arizona,Kingman—Lake Havasu City—Wickenburg
AR-01,AR,01,Arkansas,Jonesboro and the Delta
AR-02,AR,02,Arkansas,Little Rock
AR-03,AR,03,Arkansas,Northwest Arkansas
AR-04,AR,04,Arkansas,Pine Bluff—Hot Springs
CA-01,CA,01,California,Santa Rosa—Chico—Susanville
CA-02,CA,02,California,Redding—Eureka—San Rafael
CA-03,CA,03,California,Rancho Cordova—Grass Valley—South Lake Tahoe
CA-04,CA,04,California,Yuba City—Napa—Sonoma
CA-05,CA,05,California,Mother Lode and the Eastern Sierra
CA-06,CA,06,California,Sacramento North—Roseville
CA-07,CA,07,California,Sacramento—Elk Grove
CA-08,CA,08,California,Richmond—Vallejo—Vacaville
CA-09,CA,09,California,Stockton North—Antioch—Tracy
CA-10,CA,10,California,Diablo Valley
CA-11,CA,11,California,San Francisco
CA-12,CA,12,California,Oakland—Berkeley
CA-13,CA,13,California,Modesto—Merced
CA-14,CA,14,California,Fremont—Livermore
CA-15,CA,15,California,Daly City—Redwood City
CA-16,CA,16,California,San Jose South—Palo Alto—Half Moon Bay
CA-17,CA,17,California,Santa Clara—Milpitas
CA-18,CA,18,California,San Jose—Gilroy—Salinas
CA-19,CA,19,California,Monterey Bay—Big Sur—Paso Robles
CA-20,CA,20,California,Bakersfield West and Southern San Joaquin
CA-21,CA,21,California,Fresno—Visalia
